Word	Tag	NE
SKU	O	
H	O	
R	O	
O	O	
V	O	
N	O	
A	O	
D	O	
B	O	
Ě	O	
L	O	
O	O	
U	O	
Hrad	O	
,	O	
sběry	O	
1998	B-ty	ty
Muzeum	B-ic	ic
a	I-ic	ic
galerie	I-ic	ic
v	I-ic	ic
Rychnově	I-ic|B-gu	ic|gu
n	I-ic|I-gu	ic|gu
.	I-ic|I-gu	ic|gu
Kn	I-ic|I-gu|B-gh	ic|gu|gh
.	O	
PhDr	B-P|B-pd	P|pd
.	I-P|I-pd	P|pd
Martina	I-P|B-pf	P|pf
Beková	I-P|B-ps	P|ps
Bohumír	B-P|B-pf	P|pf
Dragoun	I-P|B-ps	P|ps
SKUHROV	B-gu	gu
NAD	O	
BĚLOU	B-gh	gh
hrad	O	
,	O	
sběry	O	
1998	B-ty	ty
Geomorfologický	O	
popis	O	
Hrad	O	
se	O	
nachází	O	
na	O	
ostrožně	O	
nad	O	
řekou	O	
Bělou	B-gh	gh
,	O	
na	O	
úpatí	O	
svahů	O	
svírajících	O	
tok	O	
Bělé	B-gh	gh
v	O	
rámci	O	
skuhrovské	O	
části	O	
Podorlické	B-gl	gl
pahorkatiny	I-gl	gl
(	O	
SLÁDEK	B-ps	ps
,	O	
J	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
1977	I-P|B-ty	P|ty
:	O	
Zeměpisné	B-C|B-oa	C|oa
vymezení	I-C|I-oa	C|oa
a	I-C|I-oa	C|oa
regionální	I-C|I-oa	C|oa
členění	I-C|I-oa	C|oa
in	I-C	C
:	I-C	C
Příroda	I-C|B-oa	C|oa
Orlických	I-C|I-oa	C|oa
hor	I-C|I-oa	C|oa
a	I-C|I-oa	C|oa
Podorlicka	I-C|I-oa|B-gr	C|oa|gr
,	I-C	C
Praha	I-C|B-gu	C|gu
1977	I-C|B-ty	C|ty
,	I-C	C
13	I-C|B-nb	C|nb
-	I-C	C
87	I-C|B-nb	C|nb
)	O	
.	O	
Podloží	O	
a	O	
půdní	O	
pokryv	O	
Oglejené	O	
půdy	O	
na	O	
fylitech	O	
(	O	
NÁLEVKA	B-ps	ps
,	O	
B	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
1977	I-P|B-ty	P|ty
:	O	
Půdní	B-C|B-oa	C|oa
poměry	I-C|I-oa	C|oa
,	I-C	C
in	I-C	C
:	I-C	C
Příroda	I-C|B-oa	C|oa
Orlických	I-C|I-oa	C|oa
hor	I-C|I-oa	C|oa
a	I-C|I-oa	C|oa
Podorlicka	I-C|I-oa|B-gr	C|oa|gr
,	I-C	C
Praha	I-C|B-gu	C|gu
1977	I-C|B-ty	C|ty
,	I-C	C
287	I-C|B-nb	C|nb
-	I-C	C
308	I-C|B-nb	C|nb
.	O	
)	O	
.	O	
Historie	O	
naleziště	O	
Hrad	B-gu	gu
na	O	
ostrožně	O	
,	O	
dvojdílný	O	
(	O	
předhradí	O	
a	O	
vlastní	O	
hradní	O	
areál	O	
,	O	
patrně	O	
plášťový	O	
)	O	
.	O	
Patrně	O	
založen	O	
Tasem	B-ps	ps
ze	O	
Skuhrova	B-gu	gu
kolem	O	
r	O	
.	O	
1320	B-ty	ty
,	O	
za	O	
Jiřího	B-P|B-pf	P|pf
z	I-P	P
Poděbrad	I-P|B-gu	P|gu
pustne	O	
,	O	
v	O	
roce	O	
1558	B-ty	ty
jmenován	O	
jako	O	
pustý	O	
(	O	
Musil	B-ps	ps
,	O	
F	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
,	O	
Svoboda	B-ps	ps
,	O	
L	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
1998	I-P|B-ty	P|ty
:	O	
Hrady	B-C|B-oa	C|oa
zámky	I-C|I-oa	C|oa
a	I-C|I-oa	C|oa
tvrze	I-C|I-oa	C|oa
okresu	I-C|I-oa	C|oa
Rychnov	I-C|B-gu	C|gu
nad	I-C|B-oa|B-gu	C|oa|gu
Kněžnou	I-C|I-oa|I-gu|B-gh	C|oa|gu|gh
,	I-C	C
s	I-C	C
.	I-C	C
153	I-C|B-nb	C|nb
-	I-C	C
156	I-C|B-nb	C|nb
)	O	
.	O	
Okolnosti	O	
a	O	
cíl	O	
výzkumu	O	
Sběr	O	
.	O	
1	B-ni	ni
.	O	
Sběr	O	
J	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
Slavík	I-P|B-ps	P|ps
,	O	
Památkový	B-ic	ic
ústav	I-ic	ic
Pardubice	I-ic|B-gu	ic|gu
.	O	
2	B-ni	ni
.	O	
Sběr	O	
archeologický	O	
kroužek	O	
Villa	B-ic	ic
Nova	I-ic	ic
pod	O	
vedením	O	
D	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
Vícha	I-P|B-ps	P|ps
.	O	
3	B-ni	ni
.	O	
Sběr	O	
Slavík	O	
,	O	
Památkový	B-ic	ic
ústav	I-ic	ic
Pardubice	I-ic|B-gu	ic|gu
Metoda	O	
výzkumu	O	
Povrchový	O	
sběr	O	
.	O	
Zaměření	O	
Zaměření	O	
provedla	O	
