Word	Tag	NE
Kat	O	
-	O	
obec	O	
:	O	
C	O	
H	O	
0	O	
D	O	
O	O	
UNY	O	
Osada	O	
:	O	
Trať	O	
:	O	
Čmejlova	B-ps	ps
pískovna	O	
tou	O	
;	O	
Okres	O	
:	O	
Roudnice	B-gu	gu
n	I-gu	gu
.	I-gu	gu
Labem	I-gu|B-gh	gu|gh
4	B-n_	n_
-	O	
1957	B-ty	ty
T	O	
>	O	
r«l	O	
.	O	
.	O	
a	O	
k«Uurn	O	
:	O	
ojedinělý	O	
-	O	
únětická	O	
pohřebiště	O	
-	O	
lužická	O	
ved	O	
.	O	
výzkurnu	O	
Zdráva	O	
/	O	
za	O	
obdobi	O	
veý	O	
.	O	
oddélcni	O	
Dne	O	
26.1	B-T|B-td	T|td
X	I-T|I-td	T|td
.	I-T|I-td	T|td
1957	I-T|B-ty	T|ty
jsem	O	
zajel	O	
do	O	
Chodoun	B-gu	gu
,	O	
abych	O	
zjistil	O	
možnosti	O	
výzkumu	O	
lužického	O	
žárového	O	
pohřebiště	O	
,	O	
plánovaného	O	
na	O	
srpen	B-T|B-tm	T|tm
1958	I-T|B-ty	T|ty
Naleziště	O	
je	O	
asi	O	
1	B-nc	nc
km	B-oe	oe
vých	O	
.	O	
od	O	
obce	O	
v	O	
malé	O	
pískovně	O	
,	O	
kde	O	
místní	O	
občané	O	
těží	O	
dle	O	
potřeby	O	
písek	O	
.	O	
Přilehlé	O	
pole	O	
je	O	
oseto	O	
vojtěškou	O	
.	O	
Majitel	O	
obou	O	
pozemků	O	
neměl	O	
námitek	O	
proti	O	
provedení	O	
výzkumu	O	
.	O	
V	O	
těchto	O	
místech	O	
byl	O	
koncem	O	
r	O	
.	O	
1954	B-ty	ty
rozrušen	O	
1	B-nc	nc
žárový	O	
hrob	O	
,	O	
obložený	O	
opukovými	O	
deskami	O	
a	O	
s	O	
keramikou	O	
s	O	
hladce	O	
vymezenými	O	
prsovitý	O	
-	O	
mi	O	
vypnulinami	O	
(	O	
převzal	O	
tehdy	O	
referent	O	
v	O	
zastoupení	O	
KM	B-io	io
Teplice	I-io|B-gu	io|gu
)	O	
.	O	
V	O	
r	O	
.	O	
1955	B-ty	ty
získalo	O	
odtud	O	
museum	O	
v	O	
Budyni	B-gu	gu
n.Oh	I-gu	gu
ří	I-gu	gu
další	O	
rozrušený	O	
hrob	O	
(	O	
velký	O	
okřín	O	
a	O	
zlomky	O	
dalších	O	
asi	O	
5	B-nc	nc
nádob	O	
;	O	
další	O	
nález	O	
,	O	
okolnosti	O	
neznámy	O	
)	O	
.	O	
Při	O	
své	O	
poslední	O	
návštěvě	O	
26.IX	B-T|B-td	T|td
.	I-T|I-td	T|td
jsem	O	
zjistil	O	
,	O	
že	O	
těžební	O	
plocha	O	
se	O	
proti	O	
roku	O	
1955	B-ty	ty
zvětšila	O	
cca	O	
5	B-nc	nc
krát	O	
.	O	
Odkryvem	O	
byl	O	
rozrušen	O	
další	O	
,	O	
v	O	
pořadí	O	
již	O	
třetí	O	
hrob	O	
,	O	
z	O	
jehož	O	
obložení	O	
se	O	
zachovaly	O	
opět	O	
opukové	O	
desky	O	
.	O	
Dále	O	
byly	O	
nalezeny	O	
v	O	
přehozeném	O	
materiálu	O	
zlomky	O	
z	O	
několika	O	
nádob	O	
(	O	
osudí	O	
,	O	
miska	O	
a	O	
část	O	
spodku	O	
nádoby	O	
blíže	O	
neur	O	
-	O	
citelného	O	
tvaru	O	
s	O	
mřížkovým	O	
rýhováním	O	
)	O	
.	O	
Poloha	O	
všech	O	
tří	O	
hrobů	O	
ukazuje	O	
zároveň	O	
směr	O	
,	O	
kam	O	
asi	O	
další	O	
hroby	O	
pokračují	O	
,	O	
totiž	O	
na	O	
mírnou	O	
vyvýšeninu	O	
,	O	
zasahující	O	
z	O	
části	O	
již	O	
do	O	
pole	O	
.	O	
Při	O	
povrchovém	O	
sběru	O	
byl	O	
dále	O	
nalezen	O	
kamenný	O	
únětický	O	
mlat	O	
se	O	
žlábkovým	O	
sedlem	O	
(	O	
délka	O	
167	B-nc	nc
mm	B-oe	oe
)	O	
.	O	
1	B-ni	ni
—	O	
—	O	
Navrhuji	O	
,	O	
aby	O	
výzkum	O	
v	O	
příštím	O	
roce	O	
byl	O	
proveden	O	
několika	O	
příčnými	O	
sondami	O	
,	O	
jimiž	O	
by	O	
byl	O	
praeoex	O	
zachycen	O	
rozsah	O	
pohřebiště	O	
,	O	
zejména	O	
pak	O	
prozkoumat	O	
nej	O	
bližší	O	
okolí	O	
pískovny	O	
v	O	
těch	O	
místech	O	
,	O	
kde	O	
bude	O	
pravděpodobně	O	
těžení	O	
pokračovat	O	
.	O	
Vzhledem	O	
k	O	
malé	O	
mocnosti	O	
or	O	
-	O	
o	O	
nice	O	
na	O	
nalezišti	O	
a	O	
poměrně	O	
malé	O	
ploše	O	
návršíčka	O	
(	O	
cca	O	
300	B-nc	nc
m	B-oe	oe
)	O	
,	O	
kde	O	
pohřebiště	O	
předpokládám	O	
,	O	
věřím	O	
,	O	
že	O	
by	O	
pohřebiště	O	
mohlo	O	
být	O	
z	O	
větší	O	
Poznámka	O	
:	O	
Pikte	O	
pokud	O	
možno	O	
strojern	O	
.	O	
Nn	O	
konci	O	
uvedte	O	
datum	O	
odoslání	O	
a	O	
čitelný	O	
podpis	O	
.	O	
Zprávy	O	
koreferentú	O	
a	O	
komisi	O	
vyhotovto	O	
dvojmo	O	
.	O	
/	O	
PT	O	
-	O	
14332	O	
:	O	
55	O	
části	O	
prozkoumáno	O	
v	O	
plánované	O	
době	O	
v	O	
příštím	O	
roce	O	
V	O	
Praze	B-gu	gu
1	B-T|B-td	T|td
.	I-T|I-td	T|td
října	I-T|B-tm	T|tm
1957	I-T|B-ty	T|ty
.	O	
J	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
Hrala	I-P|B-ps	P|ps
