Word	Tag	NE
r	O	
Antropologický	O	
posudek	O	
o	O	
žárových	O	
pozůstatcích	O	
z	O	
halštatské	O	
mohyly	O	
č	O	
.	O	
1	B-n_	n_
v	O	
Kšicích	B-gu	gu
o	O	
.	O	
Tachov	B-gu	gu
.	O	
Lidské	O	
žárové	O	
pozůstatky	O	
,	O	
dodané	O	
k	O	
antropologickému	O	
rozboru	O	
,	O	
byly	O	
získány	O	
dr	B-P|B-pd	P|pd
.	I-P|I-pd	P|pd
V	I-P|B-pf	P|pf
.	I-P|I-pf	P|pf
Stefanovou	I-P|B-ps	P|ps
při	O	
záchranném	O	
výzkumu	O	
halštatské	O	
mohyly	O	
č.21	O	
v	O	
Kšicích	B-gu	gu
u	I-gu	gu
Tachova	I-gu|B-gu	gu|gu
v	O	
roce	O	
1971	B-ty	ty
.	O	
Kůstky	O	
byly	O	
vyzved	O	
vyzvedpo	O	
částech	O	
a	O	
dodány	O	
v	O	
několika	O	
sáčcích	O	
:	O	
Sáček	O	
č	O	
.39	O	
(	O	
kůstky	O	
u	O	
nádoby	O	
1	B-n_	n_
v	O	
severovýchodním	O	
rohu	O	
hrobu	O	
)	O	
:	O	
Po	O	
rozplavení	O	
zjištěn	O	
jediný	O	
drobný	O	
úlomek	O	
kostní	O	
kompakty	O	
bez	O	
charakteristických	O	
znaků	O	
.	O	
Sáček	O	
č	O	
.41	O	
(	O	
kůstky	O	
na	O	
hromádce	O	
u	O	
nádoby	O	
11	B-n_	n_
v	O	
jihozápadním	O	
rohu	O	
)	O	
:	O	
Malé	O	
množství	O	
necharakteristické	O	
kostní	O	
drti	O	
;	O	
části	O	
dosti	O	
graoilní	O	
kompakty	O	
;	O	
spongiosní	O	
fragmenty	O	
vykazují	O	
nejisté	O	
náznaky	O	
počínající	O	
osteoporotické	O	
přestavby	O	
kostní	O	
trámčiny	O	
.	O	
Sáček	O	
č	O	
.54	O	
(	O	
kůstky	O	
na	O	
hromádce	O	
u	O	
nádoby	O	
11	B-n_	n_
v	O	
jihozápadním	O	
rohu	O	
,	O	
pokračování	O	
)	O	
:	O	
Větší	O	
počet	O	
fragmentů	O	
mozkovny	O	
(	O	
tlouštka	O	
4	B-nc	nc
-	O	
5	B-nc	nc
mm	B-oe	oe
,	O	
drobný	O	
úlomek	O	
temporální	O	
pyramidy	O	
)	O	
,	O	
malý	O	
úlomek	O	
krčního	O	
obratle	O	
(	O	
výška	O	
těla	O	
asi	O	
11	B-nc	nc
mm	B-oe	oe
)	O	
.	O	
Kompakta	O	
končetinových	O	
kostí	O	
(	O	
síla	O	
dosahuje	O	
až	O	
5	B-nc	nc
mm	B-oe	oe
)	O	
a	O	
rela	O	
relavětší	O	
množství	O	
kostní	O	
drti	O	
.	O	
Sáček	O	
č	O	
.66	O	
(	O	
kůstky	O	
na	O	
hromádce	O	
u	O	
nádoby	O	
11	B-n_	n_
v	O	
jihozáp	O	
.	O	
rohu	O	
,	O	
pokračování	O	
)	O	
Několik	O	
zlomků	O	
mozkovny	O	
o	O	
tlouštce	O	
5	B-nc	nc
mm	B-oe	oe
,	O	
fragment	O	
drobného	O	
kořene	O	
zubu	O	
a	O	
kostní	O	
drt	O	
s	O	
několika	O	
částečkami	O	
kompakty	O	
o	O	
síle	O	
až	O	
6	B-nc	nc
mm	B-oe	oe
.	O	
