Word	Tag	NE
Sáček	O	
č	O	
.	O	
82	B-n_	n_
(	O	
kůstky	O	
na	O	
hromádce	O	
u	O	
nádoby	O	
11	B-n_	n_
v	O	
jihozáp	O	
.	O	
rohu	O	
,	O	
pokrač	O	
.	O	
)	O	
:	O	
Několik	O	
drobných	O	
zlomků	O	
mozkovny	O	
štěpené	O	
v	O	
diploe	O	
,	O	
malá	O	
část	O	
temporální	O	
pyramidy	O	
,	O	
fragmenty	O	
kompakty	O	
končetinových	O	
kostí	O	
(	O	
tlouštka	O	
až	O	
6	B-nc	nc
mm	B-oe	oe
)	O	
,	O	
menší	O	
množství	O	
kostní	O	
drti	O	
.	O	
Sáček	O	
č	O	
.52	O	
(	O	
kůstky	O	
u	O	
nádoby	O	
16	B-n_	n_
v	O	
severovýchodním	O	
rohu	O	
)	O	
:	O	
Pouze	O	
3	B-nc	nc
drobné	O	
fragmenty	O	
kostní	O	
kompakty	O	
;	O	
blíže	O	
neurčitelné	O	
.	O	
Sáček	O	
č	O	
.57	O	
(	O	
kůstky	O	
v	O	
jamce	O	
u	O	
nádoby	O	
20	B-n_	n_
v	O	
severozápadním	O	
rohu	O	
)	O	
:	O	
Jediný	O	
drobný	O	
zlomeček	O	
kostní	O	
kompakty	O	
.	O	
Sáček	O	
8.83	B-n_	n_
(	O	
kůstky	O	
v	O	
jamce	O	
u	O	
nádoby	O	
20	B-n_	n_
v	O	
severozápadním	O	
rohu	O	
,	O	
pokračování	O	
)	O	
:	O	
Malý	O	
zlomek	O	
mozkovny	O	
(	O	
tlouštka	O	
3	B-nc	nc
-	O	
4	B-nc	nc
mm	B-oe	oe
)	O	
a	O	
3	B-nc	nc
částky	O	
kostní	O	
drti	O	
bez	O	
charakteristických	O	
znaků	O	
.	O	
V	O	
tomto	O	
materiálu	O	
bylo	O	
nalezeno	O	
též	O	
několik	O	
uhlíků	O	
.	O	
Souhrn	O	
:	O	
Materiály	O	
z	O	
jednotlivých	O	
sáčků	O	
(	O	
celkové	O	
množství	O	
19	B-nc	nc
dkg	B-oe	oe
)	O	
mají	O	
jednot	O	
jednotcharakter	O	
:	O	
dokonalý	O	
stupeň	O	
spálení	O	
,	O	
nažloutlé	O	
zbarvení	O	
,	O	
jednotný	O	
morfologický	O	
vzhled	O	
,	O	
neopakují	O	
se	O	
anatomické	O	
části	O	
.	O	
Nic	O	
tedy	O	
nena	O	
nenaže	O	
by	O	
mohlo	O	
jít	O	
o	O	
pozůstatky	O	
více	O	
jedinců	O	
,	O	
na	O	
druhé	O	
straně	O	
ovšem	O	
zase	O	
nelze	O	
příslušnost	O	
jedinému	O	
individuu	O	
(	O	
snad	O	
nejspíše	O	
dospě	O	
dospěosobě	O	
gracilní	O	
až	O	
střední	O	
tělesné	O	
stavby	O	
)	O	
bezpečně	O	
prokázat	O	
.	O	
Kůstky	O	
jsou	O	
velmi	O	
drobně	O	
drcené	O	
,	O	
takže	O	
se	O	
nezachovaly	O	
znaky	O	
nezbyt	O	
nezbytpro	O	
spolehlivější	O	
určení	O	
.	O	
Převážná	O	
většina	O	
fragmentů	O	
je	O	
více	O	
či	O	
méně	O	
intensivně	O	
zabarvena	O	
oxydováným	O	
železem	O	
,	O	
Pozn	O	
.	O	
:	O	
Materiál	O	
uložen	O	
v	O	
antropologickém	O	
oddělení	O	
AÚ	B-ic	ic
ČSAV	I-ic	ic
pod	O	
inv	O	
.	O	
č	O	
.	O	
ž	B-ty	ty
-	O	
1865	B-ty	ty
.	O	
V	O	
Praze	B-gu	gu
dne	O	
8	B-T|B-td	T|td
.	I-T|I-td	T|td
února	I-T|B-tm	T|tm
1972	I-T|B-ty	T|ty
i	O	
A	B-P|B-pd	P|pd
Dr	I-P|B-pd	P|pd
.	I-P|I-pd	P|pd
Jaromír	I-P|B-pf	P|pf
Chochol	I-P|B-ps	P|ps
