keyword,score
zpráva archeologickém výzkumu,0.7069
814 foto,0.595
dům colloredo mannsfeldském,0.5185
plánek půdorys,0.4962
sousedství zjištěného pilíře,0.4925
městě pražském číslo,0.4822
prostoru zaznamenaly,0.4713
objektu popis nálezu,0.47
prase 15 1995,0.4522
domě čp 193,0.4352
zaznamenávají mladší ikonografické,0.429
pilíře kresba mourek,0.4225
vyhodnocení nálezu literatura,0.4207
kvalitní stavební materiál,0.4006
byla tvořena čtyřmi,0.364
zdi plánek vyhodnocení,0.3599
rozměrů spojovaných vápennou,0.3001
nalezeny,0.2875
domu zůstala částečně,0.2681
pasport,0.1866
