keyword,score
lokality plánek,0.6556
geomorfologický popis hrad,0.6367
muzeum galerie rychnově,0.6213
okresu rychnov nad,0.6198
1998 geomorfologický popis,0.6192
skuhrovské části podorlické,0.5993
1998 sběr archeologický,0.5776
svahů svírajících tok,0.5751
nálevka 1977 půdní,0.56
poloha nalezeno 14,0.5337
2015 obr skuhrov,0.4886
bohumír dragoun skuhrov,0.4531
metoda výzkumu povrchový,0.4183
15 století váha,0.396
polohy nalezeny fragmenty,0.3884
poměry in příroda,0.3642
1998 zhodnocení interpretace,0.3601
velmi nizké vysazené,0.2926
zl ucha,0.252
sloufk 4998 ag802045,0.238
