keyword,score
středověká městiště ved,0.6787
2415 středověká,0.6362
dokumentovali stratigrafickou,0.5651
berouně,0.5568
nejstarší dosažitelné pozůstatky,0.5408
vrstvou místy popelovité,0.5344
nám berouně odkryli,0.5239
1984 harvát,0.5069
1599 následující pískový,0.5035
druh kultura 2415,0.4997
na gottwaldově nám,0.4419
domu čp 36,0.4163
až popelo vitou,0.4
místy na maltu,0.3958
zprávy koreferentů komisí,0.3587
csp peroun,0.3362
období 10,0.3317
cheologický ústav,0.3151
pracovníky,0.2029
katastrofálním požárem,0.2026
