keyword,score
pozůstatcích halštatské mohyly,0.6591
záchranném výzkumu halštatské,0.6339
kůstky byly vyzved,0.5867
57 kůstky jamce,0.5577
nalezeno též několik,0.5371
materiálu bylo nalezeno,0.5298
kšicích tachov lidské,0.5205
hrobu po rozplavení,0.5039
fragmenty kompakty končetinových,0.4986
nádoby 16 severovýchodním,0.4922
antropologickému rozboru byly,0.4866
1971 kůstky byly,0.4836
zlomků mozkovny tlouštce,0.4349
zjištěn jediný drobný,0.4289
získány dr,0.4235
neopakují se anatomické,0.4081
počet fragmentů,0.3937
tachov,0.3652
přestavby kostní,0.3581
spálení nažloutlé zbarvení,0.2494
