keyword,score
lístopisný slovnik historický,0.6657
literatura sedláček,0.6475
středověk číslo mapy,0.6191
keramiky posdn hradištní,0.5996
potenštejn kultura středověk,0.5724
název trati,0.5491
výsva správee 6kresního,0.5405
keramika kosti,0.5404
zemině ol hozené,0.5382
6kresního muzea blovi,0.5292
mapy kooa druh,0.5032
nálezy hradištní keranikry,0.4912
str 721 uložení,0.475
kultura,0.4567
sběru byly předány,0.4148
50 vehodem,0.4092
stole byl,0.3813
jih vir blovice,0.3804
alive jsme nalez2í,0.2845
stavba není,0.2489
