keyword,score
údaje katastrální území,0.7022
území zasažené stavební,0.6046
popis terénni situace,0.591
koněprus lokalita parcelní,0.5803
geologické situace zhodnoceni,0.5665
2005 okolnosti cil,0.5115
situace bylo zdokumentováno,0.4864
porušeny,0.486
okres wě mxei,0.4648
záchranného výzkumu,0.4308
čp 10 nálezová,0.4211
památkové,0.4093
koněprus pci8tt we,0.409
averpepneblogický ústav úappsč,0.4068
esmafkov leacovistekaapapuc datum,0.4036
000 mapový,0.3935
ke stavbě dokument,0.3869
akce stavba elektrické,0.3755
nebyly zachyceny archeologické,0.3452
výsledek nebyly zachyceny,0.2457
