keyword,score
jih archeologická sbírka,0.7346
ceskoslovenska akadem vek,0.6425
výzkumu srbech 1960,0.6155
1881 výkopech mohyl,0.5872
ohlašuje nálezy exposituře,0.5827
soubor eneol,0.536
libákovice_,0.524
63 plzeň axcmtoir,0.5204
depot rshraní bda,0.5197
sběří ředitele muzea,0.5166
okres plzeň jih,0.4886
proveden výzkum netunicích,0.4878
žáka 1881,0.4699
stkových položkách instalace,0.4569
data vznikla ponejvíce,0.4562
exgesitura plzal 48,0.4379
pořádku přehled sbírky,0.4224
1962 byl na,0.3448
tyčink nátamek rozrušené,0.3309
rozhraní střední mladší,0.3101
