keyword,score
2024 nalezená keramika,0.7531
nalezená keramika pochází,0.6713
nalezená keramika,0.6434
keramika pochází raného,0.6383
keramika pochází,0.58
raného středověku výzkum,0.5611
červnu 2024 nalezená,0.5509
2024 nalezená,0.5495
výzkumná zpráva 2024,0.4682
výzkum provedl jan,0.4553
mezí terénní výzkum,0.3917
2024 hradiště horní,0.3861
nalezená,0.3659
výzkum byl financován,0.3626
jan novotný červnu,0.3616
pochází raného,0.3525
projektu,0.3327
horní mezí terénní,0.2922
projektu demo,0.2493
provedl,0.0883
