Word	Tag	NE
o	O	
P	O	
ATOVICEn.Le	O	
Kat	O	
.	O	
obec	O	
:	O	
Osada	O	
:	O	
Trať	O	
:	O	
Pardubice	B-gu	gu
Okres	O	
:	O	
Druh	O	
a	O	
kultura	O	
:	O	
Lužické	O	
sídliště	O	
Zpráva	O	
XXWžkumu	O	
XAterenta	O	
kmixxxx	O	
ved	O	
.	O	
oddělení	O	
za	O	
období	O	
:	O	
19	B-T|B-td	T|td
.	I-T|I-td	T|td
111	I-T|B-tm	T|tm
.1974	I-T|I-tm	T|tm
Dne	O	
19.III	B-T|B-td	T|td
.	I-T|I-td	T|td
1974	I-T|B-ty	T|ty
jsije	O	
navštívili	O	
pískovnu	O	
JZD	B-g_	g_
v	O	
Opatovicích	B-gu	gu
n	I-gu	gu
.	I-gu	gu
L	I-gu	gu
.	I-gu	gu
,	O	
známou	O	
z	O	
velkého	O	
záchraného	O	
výzkumu	O	
AŮ	B-ia	ia
ČSAV	I-ia|B-io	ia|io
v	O	
Praze	B-gu	gu
v	O	
letech	O	
1956	B-ty	ty
-	O	
1959	B-ty	ty
.	O	
Tehdy	O	
práce	O	
v	O	
pískovně	O	
byla	O	
zastavena	O	
a	O	
proto	O	
výzkum	O	
byl	O	
přerušen	O	
.	O	
Zjistili	O	
jsme	O	
,	O	
že	O	
práce	O	
v	O	
pískovně	O	
byly	O	
obnoveny	O	
,	O	
rozsah	O	
pískovny	O	
se	O	
zvětšil	O	
i	O	
za	O	
hranice	O	
záchranného	O	
výzkumu	O	
.	O	
Na	O	
bagrem	O	
skryté	O	
ploše	O	
jsou	O	
znatelné	O	
3	B-nc	nc
—	O	
4	B-nc	nc
hlubší	O	
objekty	O	
,	O	
skrývka	O	
však	O	
šla	O	
velmi	O	
hluboko	O	
,	O	
takže	O	
mad	O	
±	O	
mělčí	O	
objekty	O	
byly	O	
zcela	O	
zničeny	O	
Podle	O	
teréního	O	
pozorování	O	
je	O	
ještě	O	
část	O	
sídliště	O	
zachována	O	
na	O	
parc	O	
.	O	
č	O	
.	O	
1503	B-n_	n_
,	O	
kde	O	
jsme	O	
sběrem	O	
získali	O	
lžickou	O	
kera	O	
-	O	
miku	O	
.	O	
Další	O	
střepy	O	
jsme	O	
našli	O	
na	O	
parc	O	
.	O	
č	O	
.	O	
1510	B-n_	n_
,	O	
scvernt	O	
od	O	
pískovny	O	
Ty	O	
však	O	
mohou	O	
pocházet	O	
z	O	
rozrušených	O	
žárových	O	
hrobů	O	
.	O	
Domnáváme	O	
se	O	
,	O	
že	O	
AÚ	B-ia	ia
ČSAV	I-ia	ia
v	O	
Praze	B-gu	gu
by	O	
měl	O	
dokončit	O	
Výzkum	O	
tohoto	O	
důležitého	O	
lužického	O	
sídliště	O	
,	O	
aby	O	
tak	O	
byl	O	
ukázán	O	
poprvé	O	
celý	O	
půdorys	O	
pravěké	O	
vesnice	O	
i	O	
s	O	
pohřebištěm	O	
V	O	
Hradci	B-gu	gu
Králové	I-gu	gu
,	O	
27	B-T|B-td	T|td
.	I-T|I-td	T|td
111	I-T|B-tm	T|tm
.	I-T|I-tm	T|tm
1974	I-T|B-ty	T|ty
.	O	
předejte	O	
prosím	O	
Dr.J.Ratajo	B-P|B-pd	P|pd
|	I-P|B-pf	P|pf
ver	I-P|B-ps	P|ps
,	O	
výzkumu	O	
v	O	
Opatovicích	B-gu	gu
.	O	
Domnívám	O	
se	O	
,	O	
že	O	
druhý	O	
vedoucfvýzkumu	O	
v	O	
Opatovicích	B-gq	gq
na	O	
sídlišti	O	
,	O	
Dr	B-P|B-pd	P|pd
V.Vokolek	I-P|B-pf	P|pf
by	I-P	P
mohl	I-P	P
-	I-P	P
vzhledem	I-P	P
k	I-P	P
blízkosti	I-P	P
svého	I-P	P
pracoviště	I-P	P
zahájit	O	
jednání	O	
s	O	
ústavem	O	
o	O	
další	O	
výzkum	O	
na	O	
sídlišti	O	
.	O	
Doporučuji	O	
,	O	
aby	O	
tento	O	
výzkum	O	
mu	O	
byl	O	
svěřen	O	
.	O	
ov	O	
Praze	B-gu	gu
dne	O	
7.5	B-T|B-td	T|td
.	I-T|I-td	T|td
1974	I-T|B-ty	T|ty
.	O	
R	O	
_	O	
Poznámka	O	
:	O	
Pište	O	
pokud	O	
možno	O	
strojem	O	
.	O	
Na	O	
konci	O	
uveďte	O	
datum	O	
odeslání	O	
a	O	
čitelný	O	
podpis	O	
.	O	
Zprávy	O	
koreferenta	O	
komisí	O	
7	B-ni	ni
)	O	
vyhotovte	O	
dvojmo	O	
.	O	
;	O	
v	O	
^	O	
UlíLa	O	
uq	O	
(	O	
AAuu	O	
Aud	O	
.	O	
AnMlut	O	
V	O	
r	O	
Wrr	O	
(	O	
ia	O	
7	O	
TcedLir	O	
)	O	
.	O	
2	B-nc	nc
{	O	
y	O	
.	O	
