Word	Tag	NE
479	B-ni	ni
.	O	
TUROVEC	B-p_	p_
,	O	
o	O	
.	O	
Nová	B-gu	gu
Ves	I-gu	gu
u	O	
Chýnova	B-gu	gu
,	O	
okr	O	
.	O	
Tábor	B-gr	gr
1980	B-ty	ty
-	O	
81	B-ty	ty
-	O	
KULT	O	
:	O	
Středověk	O	
.	O	
LOK	O	
:	O	
ZSV	B-A|B-ic	A|ic
Kravín	I-A|I-ic|B-gu	A|ic|gu
,	I-A	A
ca	I-A	A
6	I-A|B-az	A|az
,	I-A|I-az	A|az
5	I-A|I-az	A|az
km	I-A|B-oe	A|oe
JV	I-A	A
od	O	
Tábora	B-gu	gu
;	O	
Ikm	O	
sev	O	
.	O	
od	O	
silnice	O	
Planá	B-gu	gu
n.Lu	I-gu	gu
ž	I-gu	gu
.	O	
-	O	
Turovec	B-gu	gu
-	O	
Chýnov	B-gu	gu
;	O	
v	O	
lese	O	
s	O	
pomístním	O	
názvem	O	
"	O	
Stará	B-oa	oa
ves	I-oa	oa
"	O	
/	O	
"	O	
Pustá	B-oa	oa
ves	I-oa	oa
"	O	
/	O	
.	O	
ZM	O	
23	B-n_	n_
-	O	
133	B-n_	n_
Tábor	B-gu	gu
,	O	
217	B-nc	nc
od	O	
Z	O	
a	O	
65	B-nc	nc
mm	B-oe	oe
od	O	
J	O	
s	O	
.	O	
č	O	
.	O	
OKOL	O	
:	O	
Systematický	O	
výzkum	O	
zaniklé	O	
středověké	O	
vesnice	O	
Kravín	B-gu	gu
.	O	
NÁLEZ	O	
:	O	
Po	O	
předchozích	O	
výzkumech	O	
v	O	
letech	O	
1965	B-ty	ty
-	O	
1967	B-ty	ty
a	O	
1973	B-ty	ty
-	O	
1974	B-ty	ty
odkryt	O	
jeden	O	
z	O	
dalších	O	
objektů	O	
ZSV	B-io	io
,	O	
tentokrát	O	
jako	O	
součást	O	
"	O	
Experimentu	B-ia	ia
na	I-ia	ia
středověkém	I-ia	ia
objektu	I-ia	ia
"	O	
,	O	
prováděném	O	
ve	O	
spolupráci	O	
AÚ	B-ic	ic
ČSAV	I-ic	ic
Praha	I-ic|B-gu	ic|gu
a	O	
MHRH	B-ic	ic
Tábor	I-ic|B-gu	ic|gu
.	O	
Výzkumem	O	
měla	O	
být	O	
ověřena	O	
vypovídací	O	
schopnost	O	
geodeticko	O	
-	O	
topografického	O	
průzkumu	O	
v	O	
detailní	O	
situaci	O	
jednoho	O	
z	O	
objektů	O	
.	O	
Archeologický	O	
výzkum	O	
byl	O	
zařazen	O	
do	O	
výzkumného	O	
úkolu	O	
systematického	O	
zkoumání	O	
ZSV	B-io	io
tzv	O	
.	O	
husitského	O	
období	O	
na	O	
Táborskú	B-gr	gr
.	O	
Výzkumem	O	
byl	O	
zjištěn	O	
jednoprostorový	O	
obytný	O	
objekt	O	
zemnicové	O	
-	O	
ho	O	
typu	O	
s	O	
prostým	O	
otevřeným	O	
ohništěm	O	
,	O	
zásobní	O	
jámou	O	
,	O	
svahovitou	O	
vstupní	O	
šíjí	O	
a	O	
kamennou	O	
plentou	O	
podél	O	
podpovrchových	O	
částí	O	
stěn	O	
.	O	
Objekt	O	
dosahoval	O	
rozměrů	O	
500	B-nc	nc
-	O	
540	B-nc	nc
x	O	
220	B-nc	nc
-	O	
270	B-nc	nc
cm	B-oe	oe
s	O	
delší	O	
osou	O	
V	O	
-	O	
Z	O	
.	O	
Jihovýchodně	O	
od	O	
tohoto	O	
objektu	O	
,	O	
350	B-nc	nc
cm	B-oe	oe
od	O	
stěn	O	
a	O	
250	B-nc	nc
cm	B-oe	oe
od	O	
počátku	O	
vchodu	O	
do	O	
něj	O	
,	O	
byly	O	
odkryty	O	
zbytky	O	
povrchové	O	
stavby	O	
.	O	
Rozkládala	O	
se	O	
na	O	
ploše	O	
cca	O	
500	B-nc	nc
x	O	
500	B-nc	nc
cm	B-oe	oe
a	O	
její	O	
stěny	O	
byly	O	
shodně	O	
orientovány	O	
s	O	
obytným	O	
objektem	O	
.	O	
Získaný	O	
materiál	O	
této	O	
sídelní	O	
jednotky	O	
/	O	
dům	O	
+	O	
oddělená	O	
hospodářská	O	
stavba	O	
/	O	
je	O	
datován	O	
do	O	
první	O	
poloviny	O	
15	B-no	no
.	I-no	no
století	O	
.	O	
Mezi	O	
objekty	O	
č	O	
.	O	
1	B-n_	n_
/	O	
dům	O	
/	O	
a	O	
č	O	
.	O	
3	B-n_	n_
/	O	
povrchová	O	
stavba	O	
/	O	
byla	O	
odkryta	O	
oválná	O	
studna	O	
,	O	
prostě	O	
vyhloubená	O	
do	O	
podloží	O	
,	O	
dosahující	O	
průměru	O	
140	B-nc	nc
-	O	
175	B-nc	nc
cm	B-oe	oe
a	O	
hloubky	O	
410	B-nc	nc
cm	B-oe	oe
.	O	
Ve	O	
středu	O	
dna	O	
bylo	O	
zjištěno	O	
pravidelné	O	
kruhovité	O	
zahloubení	O	
o	O	
průměru	O	
60	B-nc	nc
cm	B-oe	oe
a	O	
hloubce	O	
20	B-nc	nc
cm	B-oe	oe
,	O	
sloužící	O	
jako	O	
odkalovač	O	
.	O	
Objekt	O	
je	O	
datován	O	
do	O	
konce	O	
13	B-no	no
.	I-no	no
,	O	
či	O	
na	O	
přelom	O	
13	B-no	no
.	I-no	no
-	O	
14	B-no	no
.	I-no	no
stol	O	
.	O	
V	O	
roce	O	
1981	B-ty	ty
byla	O	
dále	O	
provedena	O	
preparace	O	
částí	O	
objektů	O	
z	O	
let	O	
1973	B-ty	ty
-	O	
1974	B-ty	ty
a	O	
u	O	
jednoho	O	
z	O	
nich	O	
byla	O	
odkryta	O	
810	B-nc	nc
cm	B-oe	oe
hluboká	O	
studna	O	
,	O	
roubená	O	
na	O	
sucho	O	
loženým	O	
kamením	O	
,	O	
dosahující	O	
vnitřního	O	
průměru	O	
80	B-nc	nc
-	O	
90	B-nc	nc
cm	B-oe	oe
.	O	
Materiál	O	
datuje	O	
objekt	O	
do	O	
první	O	
poloviny	O	
15	B-no	no
.	I-no	no
stol	O	
.	O	
ULOŽ	O	
:	O	
MHRH	B-ic	ic
Tábor	I-ic|B-gu	ic|gu
.	O	
LIT	O	
:	O	
Shrnuta	O	
in	O	
:	O	
Krajíc	B-C|B-ps	C|ps
R	I-C|B-oa	C|oa
.	I-C|I-oa	C|oa
,	I-C	C
Přehled	I-C|B-oa	C|oa
archeologických	I-C|I-oa	C|oa
výzkumů	I-C|I-oa	C|oa
středověku	I-C|I-oa	C|oa
na	I-C|I-oa	C|oa
Táborskú	I-C|I-oa|B-gr	C|oa|gr
/	I-C	C
se	I-C	C
zaměřením	I-C	C
na	I-C	C
ZSO	I-C|B-oa	C|oa
/	I-C	C
,	O	
Archeologické	B-C|B-oa	C|oa
výzkumy	I-C|I-oa	C|oa
v	I-C|I-oa	C|oa
jižních	I-C|I-oa	C|oa
Čechách	I-C|I-oa|B-gr	C|oa|gr
1	I-C|B-ah	C|ah
,	I-C	C
1983	I-C|B-ty	C|ty
,	I-C	C
101	I-C|B-nb	C|nb
-	I-C	C
105	I-C|B-nb	C|nb
.	O	
R	B-P|B-pf	P|pf
.	I-P|I-pf	P|pf
Krajíc	I-P|B-ps	P|ps
BZU	O	
1982	B-ty	ty
-	O	
1983	B-ty	ty
4	B-n_	n_
