keyword,score
ABCHEOLOGICKÝ ÚSTAV Exgesitura,1.0
CESKOSLOVENSKA AKADEM’E VEk,0.476979
AKADEM’E VEk ABCHEOLOGICKÝ,0.443333
VEk ABCHEOLOGICKÝ ÚSTAV,0.443333
CESKOSLOVENSKA AKADEM’E,0.062923
Exgesitura v Plzal,0.062923
ABCHEOLOGICKÝ ÚSTAV,0.058513
ÚSTAV Exgesitura,0.058513
AKADEM’E VEk,0.026039
VEk ABCHEOLOGICKÝ,0.026039
Doe,0.003966
CESKOSLOVENSKA,0.00367
Plzal,0.00367
AKADEM’E,0.003413
ABCHEOLOGICKÝ,0.003413
ÚSTAV,0.003413
Exgesitura,0.003413
okres Plzeň,0.002716
sbírce Vlastivědného muzea,0.00268
Plzeň,0.002648
