keyword,score
ATOVICEn.Le Kat,1.0
Lužické sídliště Zpráva,0.488102
Pardubice Okres,0.294914
Zpráva XXWžkumu XAterenta,0.224047
sídliště Zpráva XXWžkumu,0.188151
Kat,0.16748
Druh a kultura,0.139482
JZD v Opatovicích,0.116025
ČSAV v Praze,0.115035
Zpráva XXWžkumu,0.114044
Lužické sídliště,0.108122
XAterenta kmixxxx ved,0.106523
Opatovicích,0.10027
sídliště Zpráva,0.098091
XXWžkumu XAterenta kmixxxx,0.093887
Praze,0.093818
navštívili pískovnu JZD,0.092955
výzkum,0.089295
práce v pískovně,0.086441
Praze dne,0.07694
