keyword,score
NÁLEZOVÁ ZPRÁVA,1.0
ZPRÁVA O ARCHEOLOGICKÉM,0.963283
ARCHEOLOGICKÉM VÝZKUMU,0.963283
VÝZKUMU V DOMĚ,0.963283
STARÉM MĚSTĚ PRAŽSKÉM,0.476305
MĚSTĚ PRAŽSKÉM Číslo,0.476305
pilíře,0.157546
zdivá,0.151977
Karlova mostu,0.115174
KŘIŽOVNICKÉN NÁMĚSTÍ,0.105527
NÁMĚSTÍ NA STARÉM,0.105527
STARÉM MĚSTĚ,0.105527
MĚSTĚ PRAŽSKÉM,0.105527
PRAŽSKÉM Číslo,0.105527
pilíře Karlova mostu,0.105506
byla,0.094018
pískovcového obkladu pilíře,0.077743
pískovcového obkladu,0.074075
místnosti,0.071368
foto,0.069886
